,href,text
99,https://www.sports.ru//football/1114208768-ronaldo-ya-byl-by-schastliv-esli-by-messi-vyigral-chm-no-kak-brazilecz.html,"Роналдо: «Я был бы счастлив, если бы Месси выиграл ЧМ, но, как бразилец, не был бы рад победе Аргентины»"
100,https://www.sports.ru//football/1114208803-tuxel-glavnyj-kandidat-na-post-trenera-anglii-v-sluchae-uxoda-sautgejt.html,Тухель – главный кандидат на пост тренера Англии в случае ухода Саутгейта (Bild)
101,https://www.sports.ru//figure-skating/1114208457-vajczexovskaya-o-premii-isu-skating-awards-luchshij-trener-eto-mimo-ro.html,Вайцеховская о премии ISU Skating Awards: «Лучший тренер – это мимо России. Тутберидзе бы для начала от скандала с Валиевой отряхнуться»
102,https://www.sports.ru//football/1114208500-messi-maradonit-na-etom-chm-on-pokazyvaet-sut-futbola-tot-kto-ne-lyubi.html,"«Месси марадонит на этом ЧМ, он показывает суть футбола. Тот, кто не любит Лео, не любит футбол». Вальдано об аргентинце"
103,https://www.sports.ru//skiing/1114203123-aleksandr-bolshunov-sejchas-kubok-mira-dlya-menya-nemnogo-smeshnoj-med.html,"Александр Большунов: «Сейчас Кубок мира для меня немного смешной. Медали раздаются просто так, без борьбы»"
104,https://www.sports.ru//football/1114208332-luka-modrich-xochu-zavershit-kareru-v-reale-eto-moya-mechta.html,Лука Модрич: «Хочу завершить карьеру в «Реале». Это моя мечта»
105,https://www.sports.ru//tennis/1114207378-deputat-teryushkov-poprosil-minyust-rossii-vnesti-kasatkinu-v-spisok-i.html,Депутат Терюшков попросил Минюст России внести Касаткину в список иноагентов: «Ведомство ответило отпиской»
106,https://www.sports.ru//hockey/1114207535-direktor-ska-3-legionera-zdravaya-czifra-nash-primer-pokazyvaet-chto-b.html,"Директор СКА: «3 легионера – здравая цифра. Наш пример показывает, что без иностранцев можно добиваться результата»"
107,https://www.sports.ru/https://sprts.cc/ENLhXWnd,10 культовых предметов с чемпионатов мира. Найдите их все и поборитесь за приз
108,https://www.sports.ru//football/1114206877-myu-xotyat-prodat-za-6-7-mlrd-funtov-v-1-m-kvartale-2023-goda-no-spesh.html,«МЮ» хотят продать за 6-7 млрд фунтов в 1-м квартале 2023 года
